,0
1356,0xa4
1357,0xa5
1358,0xa2
1359,0x9f
1360,0x9f
1361,0x9f
1362,0x9b
1363,0x97
1364,0x97
1365,0x9c
1366,0xa3
1367,0xa8
1368,0xab
1369,0xad
1370,0xb0
1371,0xb3
1372,0xb5
1373,0xb8
1374,0xbb
1375,0xbd
1376,0xbb
1377,0xb5
1378,0xae
1379,0xab
1380,0xad
1381,0xb0
1382,0xaf
1383,0xac
1384,0xaa
1385,0xac
1386,0xaf
1387,0xb2
1388,0xb4
1389,0xb4
1390,0xb3
1391,0xb0
1392,0xab
1393,0xa6
1394,0xa3
1395,0xa4
1396,0xa5
1397,0xa3
1398,0x9d
1399,0x97
1400,0x96
1401,0x97
1402,0x95
1403,0x8e
1404,0x88
1405,0x88
1406,0x8e
1407,0x92
1408,0x8f
1409,0x89
1410,0x84
1411,0x81
1412,0x7d
1413,0x79
1414,0x78
1415,0x76
1416,0x74
1417,0x72
1418,0x70
1419,0x70
1420,0x6f
1421,0x6e
1422,0x6e
1423,0x6e
1424,0x6c
1425,0x68
1426,0x65
1427,0x64
1428,0x66
1429,0x67
1430,0x67
1431,0x66
1432,0x67
1433,0x6a
1434,0x6c
1435,0x6a
1436,0x65
1437,0x62
1438,0x5f
1439,0x5c
1440,0x59
1441,0x57
1442,0x58
1443,0x5a
1444,0x5b
1445,0x5b
1446,0x5b
1447,0x5b
1448,0x5d
1449,0x5f
1450,0x61
1451,0x61
1452,0x5e
1453,0x5a
1454,0x56
1455,0x51
1456,0x4f
1457,0x4f
1458,0x50
1459,0x4f
1460,0x4c
1461,0x4b
1462,0x4c
1463,0x4d
1464,0x4e
1465,0x50
1466,0x52
1467,0x54
1468,0x54
1469,0x54
1470,0x55
1471,0x53
1472,0x50
1473,0x4b
1474,0x47
1475,0x44
1476,0x45
1477,0x4d
1478,0x57
1479,0x5c
1480,0x59
1481,0x54
1482,0x55
1483,0x59
1484,0x5d
1485,0x5c
1486,0x5b
1487,0x5b
1488,0x5b
1489,0x5a
1490,0x59
1491,0x5a
1492,0x5e
1493,0x61
1494,0x64
1495,0x65
1496,0x66
1497,0x65
1498,0x64
1499,0x63
1500,0x63
1501,0x63
1502,0x64
1503,0x66
1504,0x67
1505,0x67
1506,0x68
1507,0x68
1508,0x67
1509,0x67
1510,0x68
1511,0x69
1512,0x67
1513,0x66
1514,0x65
1515,0x65
1516,0x65
1517,0x64
1518,0x65
1519,0x65
1520,0x66
1521,0x67
1522,0x69
1523,0x6b
1524,0x6c
1525,0x6c
1526,0x6d
1527,0x6e
1528,0x70
1529,0x70
1530,0x71
1531,0x73
1532,0x74
1533,0x76
1534,0x76
1535,0x76
1536,0x76
1537,0x79
1538,0x7e
1539,0x84
1540,0x87
1541,0x87
1542,0x84
1543,0x83
1544,0x88
1545,0x92
1546,0x9a
1547,0x98
1548,0x92
1549,0x8e
1550,0x91
1551,0x96
1552,0x99
1553,0x9b
1554,0x9c
1555,0x9c
1556,0x9f
1557,0xa5
1558,0xab
1559,0xac
1560,0xa8
1561,0xa6
1562,0xa6
1563,0xa8
1564,0xa9
1565,0xa8
1566,0xa6
1567,0xa5
1568,0xa5
1569,0xa5
1570,0xa4
1571,0xa4
1572,0xa4
1573,0xa5
1574,0xa8
1575,0xa8
1576,0xa7
1577,0xa6
1578,0xa4
1579,0xa0
1580,0x99
1581,0x94
1582,0x96
1583,0x9d
1584,0xa5
1585,0xa8
1586,0xa7
1587,0xa7
1588,0xa5
1589,0xa3
1590,0xa0
1591,0xa1
1592,0xa4
1593,0xa6
1594,0xa5
1595,0xa5
1596,0xa7
1597,0xa9
1598,0xaa
1599,0xa8
1600,0xa5
1601,0xa1
1602,0xa1
1603,0xa5
1604,0xaa
1605,0xab
1606,0xa9
1607,0xa5
1608,0xa1
1609,0x9c
