,0
1127,0x44
1128,0x43
1129,0x47
1130,0x4b
1131,0x55
1132,0x5e
1133,0x5f
1134,0x5f
1135,0x62
1136,0x66
1137,0x6c
1138,0x77
1139,0x7a
1140,0x78
1141,0x78
1142,0x78
1143,0x7b
1144,0x81
1145,0x87
1146,0x8c
1147,0x8f
1148,0x92
1149,0x93
1150,0x90
1151,0x90
1152,0x95
1153,0x99
1154,0x9c
1155,0x9c
1156,0x95
1157,0x8f
1158,0x8b
1159,0x87
1160,0x81
1161,0x77
1162,0x6f
1163,0x67
1164,0x62
1165,0x5c
1166,0x59
1167,0x58
1168,0x55
1169,0x5b
1170,0x5e
1171,0x62
1172,0x67
1173,0x70
1174,0x78
1175,0x7a
1176,0x7d
1177,0x7d
1178,0x7e
1179,0x7e
1180,0x85
1181,0x84
1182,0x7e
1183,0x7b
1184,0x76
1185,0x73
1186,0x6f
1187,0x6c
1188,0x6a
1189,0x69
1190,0x69
1191,0x67
1192,0x69
1193,0x69
1194,0x6c
1195,0x70
1196,0x74
1197,0x78
1198,0x7b
1199,0x80
1200,0x80
1201,0x85
1202,0x88
1203,0x8b
1204,0x8e
1205,0x90
1206,0x95
1207,0x96
1208,0x96
1209,0x92
1210,0x8e
1211,0x8b
1212,0x88
1213,0x85
1214,0x82
1215,0x80
1216,0x7d
1217,0x76
1218,0x73
1219,0x6d
1220,0x67
1221,0x63
1222,0x5b
1223,0x54
1224,0x4e
1225,0x4b
1226,0x46
1227,0x44
1228,0x46
1229,0x44
1230,0x43
1231,0x43
1232,0x44
1233,0x48
1234,0x54
1235,0x65
1236,0x73
1237,0x7e
1238,0x87
1239,0x92
1240,0x9d
1241,0xa8
1242,0xb4
1243,0xbf
1244,0xc9
1245,0xc9
1246,0xc9
1247,0xc5
1248,0xb9
1249,0xad
1250,0xa4
1251,0x98
1252,0x8c
1253,0x82
1254,0x76
1255,0x65
1256,0x58
1257,0x4e
1258,0x48
1259,0x46
1260,0x47
1261,0x4a
1262,0x4d
1263,0x4b
1264,0x4a
1265,0x4f
1266,0x57
1267,0x60
1268,0x6d
1269,0x6f
1270,0x6c
1271,0x6a
1272,0x6c
1273,0x70
1274,0x78
1275,0x7b
1276,0x78
1277,0x73
1278,0x70
1279,0x6c
1280,0x70
1281,0x73
1282,0x7a
1283,0x82
1284,0x85
1285,0x8b
1286,0x89
1287,0x89
1288,0x8f
1289,0x98
1290,0xa0
1291,0xa4
1292,0xa4
1293,0x9f
1294,0x96
1295,0x92
1296,0x8b
1297,0x84
1298,0x7d
1299,0x76
1300,0x69
1301,0x5f
1302,0x57
1303,0x52
1304,0x4f
1305,0x51
1306,0x52
1307,0x55
1308,0x59
1309,0x5f
1310,0x6c
1311,0x73
1312,0x77
1313,0x7d
1314,0x7e
1315,0x81
1316,0x85
1317,0x88
1318,0x82
1319,0x7d
1320,0x76
1321,0x6f
1322,0x6a
1323,0x6c
1324,0x69
1325,0x65
1326,0x62
1327,0x63
1328,0x66
1329,0x6d
1330,0x73
1331,0x77
1332,0x7a
1333,0x7d
1334,0x80
1335,0x88
1336,0x8f
1337,0x96
1338,0x9c
1339,0x9a
1340,0x9a
1341,0x9a
1342,0x9a
1343,0x95
1344,0x90
1345,0x8f
1346,0x87
1347,0x81
1348,0x7e
1349,0x76
1350,0x73
1351,0x73
1352,0x74
1353,0x77
1354,0x78
1355,0x76
1356,0x6f
1357,0x67
1358,0x62
1359,0x5c
1360,0x59
1361,0x57
1362,0x52
1363,0x48
1364,0x43
1365,0x41
1366,0x3f
1367,0x3d
1368,0x3d
1369,0x3f
1370,0x44
1371,0x52
1372,0x60
1373,0x6d
1374,0x7b
1375,0x8f
1376,0xa4
1377,0xad
1378,0xb2
1379,0xb8
1380,0xc0
1381,0xc6
1382,0xcc
1383,0xc8
1384,0xbb
1385,0xae
1386,0x9c
1387,0x8f
1388,0x7e
1389,0x76
